system:index,City,Date,montlyPrecipSumAvg,.geo
0_0_0,Kolda,01_01_2002,0.0771890687524159,
0_0_1,Kolda,02_01_2002,0.5191095345811341,
0_0_2,Kolda,03_01_2002,0.0011794848971259414,
0_0_3,Kolda,04_01_2002,0.08949785568069309,
0_0_4,Kolda,05_01_2002,4.907175266161198,
0_0_5,Kolda,06_01_2002,182.95849990933567,
0_0_6,Kolda,07_01_2002,206.35163995736661,
0_0_7,Kolda,08_01_2002,240.24827358885832,
0_0_8,Kolda,09_01_2002,272.78833421398474,
0_0_9,Kolda,10_01_2002,106.43680922095449,
0_0_10,Kolda,11_01_2002,1.9832717587781816,
0_0_11,Kolda,12_01_2002,0.896454661598727,
0_1_0,Kolda,01_01_2003,0.03596090549608881,
0_1_1,Kolda,02_01_2003,0.24914935215308173,
0_1_2,Kolda,03_01_2003,0.0,
0_1_3,Kolda,04_01_2003,0.6387398341685776,
0_1_4,Kolda,05_01_2003,5.687289680649595,
0_1_5,Kolda,06_01_2003,152.19853928026956,
0_1_6,Kolda,07_01_2003,273.7032189789988,
0_1_7,Kolda,08_01_2003,373.6699207656105,
0_1_8,Kolda,09_01_2003,253.59622827899167,
0_1_9,Kolda,10_01_2003,73.71942038529205,
0_1_10,Kolda,11_01_2003,2.164571447226,
0_1_11,Kolda,12_01_2003,0.9824233040955612,
0_2_0,Kolda,01_01_2004,0.08162686982447191,
0_2_1,Kolda,02_01_2004,0.335234676066251,
0_2_2,Kolda,03_01_2004,0.0,
0_2_3,Kolda,04_01_2004,8.131691682478035E-4,
0_2_4,Kolda,05_01_2004,21.5511706670933,
0_2_5,Kolda,06_01_2004,152.20756439020641,
0_2_6,Kolda,07_01_2004,312.9210838532141,
0_2_7,Kolda,08_01_2004,268.5423162913904,
0_2_8,Kolda,09_01_2004,257.8785905338885,
0_2_9,Kolda,10_01_2004,59.384356211295454,
0_2_10,Kolda,11_01_2004,3.0954830000248967,
0_2_11,Kolda,12_01_2004,0.9458010512799135,
0_3_0,Kolda,01_01_2005,0.004589813137297622,
0_3_1,Kolda,02_01_2005,0.47812184637417493,
0_3_2,Kolda,03_01_2005,0.0,
0_3_3,Kolda,04_01_2005,0.6808230301976043,
0_3_4,Kolda,05_01_2005,21.40338809382383,
0_3_5,Kolda,06_01_2005,114.5525759983717,
0_3_6,Kolda,07_01_2005,287.0319556500208,
0_3_7,Kolda,08_01_2005,302.0081213702193,
0_3_8,Kolda,09_01_2005,271.623643221692,
0_3_9,Kolda,10_01_2005,105.5782384872033,
0_3_10,Kolda,11_01_2005,2.2413358631670643,
0_3_11,Kolda,12_01_2005,0.26721786314856294,
0_4_0,Kolda,01_01_2006,0.01782645950324606,
0_4_1,Kolda,02_01_2006,0.42497666536762235,
0_4_2,Kolda,03_01_2006,0.0,
0_4_3,Kolda,04_01_2006,4.591944256449133E-5,
0_4_4,Kolda,05_01_2006,13.818765857961118,
0_4_5,Kolda,06_01_2006,151.2533217262689,
0_4_6,Kolda,07_01_2006,171.67759159857502,
0_4_7,Kolda,08_01_2006,363.1758716128221,
0_4_8,Kolda,09_01_2006,301.58201152199325,
0_4_9,Kolda,10_01_2006,137.08318630507,
0_4_10,Kolda,11_01_2006,0.893028955307556,
0_4_11,Kolda,12_01_2006,0.9258575845162098,
0_5_0,Kolda,01_01_2007,8.077610274704255E-4,
0_5_1,Kolda,02_01_2007,0.35521832706664147,
0_5_2,Kolda,03_01_2007,0.016124719763754954,
0_5_3,Kolda,04_01_2007,0.8496212605336495,
0_5_4,Kolda,05_01_2007,11.247678766365299,
0_5_5,Kolda,06_01_2007,68.02769497226733,
0_5_6,Kolda,07_01_2007,220.79143747873096,
0_5_7,Kolda,08_01_2007,389.05861478551293,
0_5_8,Kolda,09_01_2007,177.79975678697028,
0_5_9,Kolda,10_01_2007,50.072001797437345,
0_5_10,Kolda,11_01_2007,3.375164491972722,
0_5_11,Kolda,12_01_2007,0.9845313573726844,
0_6_0,Kolda,01_01_2008,0.004754386708907563,
0_6_1,Kolda,02_01_2008,0.11290605601205977,
0_6_2,Kolda,03_01_2008,0.0,
0_6_3,Kolda,04_01_2008,0.0,
0_6_4,Kolda,05_01_2008,10.172212912930746,
0_6_5,Kolda,06_01_2008,79.03907605690684,
0_6_6,Kolda,07_01_2008,202.18353406192486,
0_6_7,Kolda,08_01_2008,429.83195760498853,
0_6_8,Kolda,09_01_2008,276.0602645452429,
0_6_9,Kolda,10_01_2008,74.75104168284592,
0_6_10,Kolda,11_01_2008,0.5330243966716335,
0_6_11,Kolda,12_01_2008,0.0,
0_7_0,Kolda,01_01_2009,0.008743659934124378,
0_7_1,Kolda,02_01_2009,0.0,
0_7_2,Kolda,03_01_2009,0.0390490303327125,
0_7_3,Kolda,04_01_2009,0.05939649552268387,
0_7_4,Kolda,05_01_2009,4.638123381408411,
0_7_5,Kolda,06_01_2009,88.7664471326603,
0_7_6,Kolda,07_01_2009,205.97251292344353,
0_7_7,Kolda,08_01_2009,486.1322742539855,
0_7_8,Kolda,09_01_2009,263.2189035520643,
0_7_9,Kolda,10_01_2009,48.54315889471268,
0_7_10,Kolda,11_01_2009,7.141188737688807,
0_7_11,Kolda,12_01_2009,1.0453793630660146,
0_8_0,Kolda,01_01_2010,0.03903324448278453,
0_8_1,Kolda,02_01_2010,0.3853704609244375,
0_8_2,Kolda,03_01_2010,0.0,
0_8_3,Kolda,04_01_2010,0.32117960359560466,
0_8_4,Kolda,05_01_2010,7.897974987319978,
0_8_5,Kolda,06_01_2010,144.5895034644379,
0_8_6,Kolda,07_01_2010,247.7401200425092,
0_8_7,Kolda,08_01_2010,354.5338145563515,
0_8_8,Kolda,09_01_2010,258.90313296872097,
0_8_9,Kolda,10_01_2010,45.45636336912268,
0_8_10,Kolda,11_01_2010,2.093629632998248,
0_8_11,Kolda,12_01_2010,0.8371132425165692,
0_9_0,Kolda,01_01_2011,0.031654705357875706,
0_9_1,Kolda,02_01_2011,0.0,
0_9_2,Kolda,03_01_2011,0.0,
0_9_3,Kolda,04_01_2011,0.009621065354787399,
0_9_4,Kolda,05_01_2011,15.522895139851537,
0_9_5,Kolda,06_01_2011,98.48620517939572,
0_9_6,Kolda,07_01_2011,174.49930679018743,
0_9_7,Kolda,08_01_2011,361.9179398667845,
0_9_8,Kolda,09_01_2011,184.14222471383698,
0_9_9,Kolda,10_01_2011,39.46272141839754,
0_9_10,Kolda,11_01_2011,1.5210037617657088,
0_9_11,Kolda,12_01_2011,0.4534659322671754,
0_10_0,Kolda,01_01_2012,0.06799957065636085,
0_10_1,Kolda,02_01_2012,0.6151269715560758,
0_10_2,Kolda,03_01_2012,0.0,
0_10_3,Kolda,04_01_2012,0.598496214474039,
0_10_4,Kolda,05_01_2012,27.62574754938038,
0_10_5,Kolda,06_01_2012,150.19609557952336,
0_10_6,Kolda,07_01_2012,200.87677167691191,
0_10_7,Kolda,08_01_2012,266.050429746226,
0_10_8,Kolda,09_01_2012,288.0444105770287,
0_10_9,Kolda,10_01_2012,42.721296156637955,
0_10_10,Kolda,11_01_2012,3.8182383584253197,
0_10_11,Kolda,12_01_2012,1.0051464160313064,
0_11_0,Kolda,01_01_2013,0.06976039810074215,
0_11_1,Kolda,02_01_2013,0.20983602124490952,
0_11_2,Kolda,03_01_2013,0.0012293973991894705,
0_11_3,Kolda,04_01_2013,0.0,
0_11_4,Kolda,05_01_2013,13.512615471351438,
0_11_5,Kolda,06_01_2013,64.64084268849959,
0_11_6,Kolda,07_01_2013,124.42364473128062,
0_11_7,Kolda,08_01_2013,333.74163563884696,
0_11_8,Kolda,09_01_2013,224.19330937938312,
0_11_9,Kolda,10_01_2013,63.191179811959536,
0_11_10,Kolda,11_01_2013,4.022514483729621,
0_11_11,Kolda,12_01_2013,0.40354266793083476,
0_12_0,Kolda,01_01_2014,0.005596785510506551,
0_12_1,Kolda,02_01_2014,0.0,
0_12_2,Kolda,03_01_2014,0.0028881469120463636,
0_12_3,Kolda,04_01_2014,0.0,
0_12_4,Kolda,05_01_2014,12.345179600403885,
0_12_5,Kolda,06_01_2014,83.60016955291917,
0_12_6,Kolda,07_01_2014,117.70458462446688,
0_12_7,Kolda,08_01_2014,184.61457863272366,
0_12_8,Kolda,09_01_2014,184.26030699068778,
0_12_9,Kolda,10_01_2014,81.76659980660612,
0_12_10,Kolda,11_01_2014,1.523451783307301,
0_12_11,Kolda,12_01_2014,1.0368723358402436,
0_13_0,Kolda,01_01_2015,0.07566363951221672,
0_13_1,Kolda,02_01_2015,0.006736382261564739,
0_13_2,Kolda,03_01_2015,0.0,
0_13_3,Kolda,04_01_2015,0.0478113927249986,
0_13_4,Kolda,05_01_2015,7.306821385212844,
0_13_5,Kolda,06_01_2015,72.05139854766406,
0_13_6,Kolda,07_01_2015,294.23721332763273,
0_13_7,Kolda,08_01_2015,305.1385430962574,
0_13_8,Kolda,09_01_2015,317.9058461644785,
0_13_9,Kolda,10_01_2015,181.93406794861284,
0_13_10,Kolda,11_01_2015,4.931371426497651,
0_13_11,Kolda,12_01_2015,1.1641929854293733,
0_14_0,Kolda,01_01_2016,0.04813166995446289,
0_14_1,Kolda,02_01_2016,0.5417565085835563,
0_14_2,Kolda,03_01_2016,0.023632906690122548,
0_14_3,Kolda,04_01_2016,0.0,
0_14_4,Kolda,05_01_2016,17.824412286604645,
0_14_5,Kolda,06_01_2016,87.6632872652313,
0_14_6,Kolda,07_01_2016,229.37150060710547,
0_14_7,Kolda,08_01_2016,356.9411730070101,
0_14_8,Kolda,09_01_2016,348.5021514933768,
0_14_9,Kolda,10_01_2016,31.19823575985989,
0_14_10,Kolda,11_01_2016,3.120727232719051,
0_14_11,Kolda,12_01_2016,1.1326205341068418,
0_15_0,Kolda,01_01_2017,0.06302807317679303,
0_15_1,Kolda,02_01_2017,0.3133871836946182,
0_15_2,Kolda,03_01_2017,1.4213698250140622E-4,
0_15_3,Kolda,04_01_2017,0.9677801626888395,
0_15_4,Kolda,05_01_2017,20.727218614623638,
0_15_5,Kolda,06_01_2017,96.21218547951885,
0_15_6,Kolda,07_01_2017,246.18281277699202,
0_15_7,Kolda,08_01_2017,575.3369340903067,
0_15_8,Kolda,09_01_2017,143.76888253242993,
0_15_9,Kolda,10_01_2017,27.91040991495053,
0_15_10,Kolda,11_01_2017,2.5232508409424894,
0_15_11,Kolda,12_01_2017,0.0,
0_16_0,Kolda,01_01_2018,0.05096132571980424,
0_16_1,Kolda,02_01_2018,0.0409205978468747,
0_16_2,Kolda,03_01_2018,9.071532097237494E-4,
0_16_3,Kolda,04_01_2018,0.0,
0_16_4,Kolda,05_01_2018,0.1042348097777625,
0_16_5,Kolda,06_01_2018,89.60358668484176,
0_16_6,Kolda,07_01_2018,198.50490147569968,
0_16_7,Kolda,08_01_2018,343.5124301689508,
0_16_8,Kolda,09_01_2018,323.934243690798,
0_16_9,Kolda,10_01_2018,79.98714316565652,
0_16_10,Kolda,11_01_2018,3.0269517660290695,
0_16_11,Kolda,12_01_2018,0.8991389423391095,
0_17_0,Kolda,01_01_2019,0.10459506967017018,
0_17_1,Kolda,02_01_2019,0.25434945311730467,
0_17_2,Kolda,03_01_2019,0.0,
0_17_3,Kolda,04_01_2019,1.056433187632488,
0_17_4,Kolda,05_01_2019,0.19572920451157785,
0_17_5,Kolda,06_01_2019,162.26000715469496,
0_17_6,Kolda,07_01_2019,208.8707300127764,
0_17_7,Kolda,08_01_2019,335.75173989536,
0_17_8,Kolda,09_01_2019,273.7901881970769,
0_17_9,Kolda,10_01_2019,67.84200270870716,
0_17_10,Kolda,11_01_2019,3.35095269357437,
0_17_11,Kolda,12_01_2019,0.6735305299131871,
0_18_0,Kolda,01_01_2020,0.006029831505740858,
0_18_1,Kolda,02_01_2020,0.37666367542069296,
0_18_2,Kolda,03_01_2020,0.0,
0_18_3,Kolda,04_01_2020,0.010449173471885342,
0_18_4,Kolda,05_01_2020,5.7694614841893,
0_18_5,Kolda,06_01_2020,143.78975757717333,
0_18_6,Kolda,07_01_2020,344.4201564791242,
